gen,code,thai_1,thai_2,thai_3,thai_4,thai_5,thai_6,english_basic_1,english_basic_2,english_basic_3,english_basic_4,english_basic_5,english_basic_6,english_add_1,english_add_2,english_add_3,english_add_4,english_add_5,english_add_6,math_basic_1,math_basic_2,math_basic_3,math_basic_4,math_basic_5,math_basic_6,math_add_1,math_add_2,math_add_3,math_add_4,math_add_5,math_add_6,science_1,science_2,science_3,science_4,science_5,science_6,physics_1,physics_2,physics_3,physics_4,physics_5,physics_6,chemistry_1,chemistry_2,chemistry_3,chemistry_4,chemistry_5,chemistry_6,biology_1,biology_2,biology_3,biology_4,biology_5,biology_6,computer_1,computer_2,computer_3,computer_4,computer_5,computer_6,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,project_1,project_2,project_3,project_4,project_5,project_6,social1_1,social1_2,social1_3,social1_4,social1_5,social1_6,social2_1,social2_2,social2_3,social2_4,social2_5,social2_6,health_1,health_2,health_3,health_4,health_5,health_6,pe_1,pe_2,pe_3,pe_4,pe_5,pe_6,art_1,art_2,art_3,art_4,art_5,art_6,career_1,career_2,career_3,career_4,career_5,career_6,credits_studied_1,credits_studied_2,credits_studied_3,credits_studied_4,credits_studied_5,credits_studied_6,credits_earned_1,credits_earned_2,credits_earned_3,credits_earned_4,credits_earned_5,credits_earned_6,gpa_1,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6
,09614,4,3.5,-,-,-,-,3,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,3,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.89,3.89,-,-,-,-
,05381,4,4,-,-,-,-,3.5,3,-,-,-,-,4,3.5,-,-,-,-,4,2.5,-,-,-,-,3.5,2,-,-,-,-,3,4,-,-,-,-,3.5,2.5,-,-,-,-,1.5,1,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,1,-,-,-,-,1,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.53,3.18,-,-,-,-
,06710,3.5,3.5,-,-,-,-,2.5,3,-,-,-,-,3.5,3.5,-,-,-,-,4,3.5,-,-,-,-,3.5,3.5,-,-,-,-,3.5,3.5,-,-,-,-,3.5,3.5,-,-,-,-,3,3.5,-,-,-,-,4,2,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,3,4,-,-,-,-,3.5,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.57,3.52,-,-,-,-
,06711,3.5,3,-,-,-,-,2.5,2,-,-,-,-,2.5,3.5,-,-,-,-,4,4,-,-,-,-,3.5,3.5,-,-,-,-,3.5,4,-,-,-,-,4,3.5,-,-,-,-,4,3.5,-,-,-,-,4,3,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.74,3.59,-,-,-,-
,06783,4,3,-,-,-,-,2.5,2,-,-,-,-,2,3,-,-,-,-,2.5,2.5,-,-,-,-,1.5,2.5,-,-,-,-,2.5,3.5,-,-,-,-,3,2.5,-,-,-,-,3,1.5,-,-,-,-,2,1.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,3,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.10,2.94,-,-,-,-
,06968,3.5,3,-,-,-,-,1.5,2,-,-,-,-,2.5,3,-,-,-,-,1.5,2.5,-,-,-,-,3,2.5,-,-,-,-,1.5,3.5,-,-,-,-,2.5,2,-,-,-,-,1.5,1,-,-,-,-,1,1,-,-,-,-,2.5,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,3,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,1,-,-,-,-,1.5,3,-,-,-,-,3,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,2.50,2.72,-,-,-,-
,06976,3.5,3,-,-,-,-,2,2,-,-,-,-,1.5,3,-,-,-,-,4,3,-,-,-,-,3,2.5,-,-,-,-,2.5,3.5,-,-,-,-,3,3,-,-,-,-,3,3,-,-,-,-,2.5,2.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,3,3.5,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.19,3.22,-,-,-,-
,07056,4,4,-,-,-,-,3.5,3.5,-,-,-,-,3.5,3.5,-,-,-,-,4,3.5,-,-,-,-,4,2.5,-,-,-,-,3.5,4,-,-,-,-,4,3.5,-,-,-,-,2.5,2.5,-,-,-,-,2.5,3.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.67,3.58,-,-,-,-
,07059,3.5,3,-,-,-,-,1.5,1.5,-,-,-,-,3,3,-,-,-,-,2.5,1,-,-,-,-,2,2.5,-,-,-,-,1.5,3,-,-,-,-,3,2,-,-,-,-,2,1,-,-,-,-,1,1,-,-,-,-,2,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,3,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,2,-,-,-,-,2.5,3.5,-,-,-,-,3.5,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,2.57,2.62,-,-,-,-
,07060,4,4,-,-,-,-,2.5,2,-,-,-,-,3,3,-,-,-,-,4,3,-,-,-,-,3.5,3,-,-,-,-,3,4,-,-,-,-,3,3.5,-,-,-,-,3,3.5,-,-,-,-,2.5,3.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,2.5,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.44,3.52,-,-,-,-
